Artist and Title,Streams,Daily,artist,song,clean_artist,streams_millions,has_grammy
Lewis Capaldi - Someone You Loved,2958875491,1522093.0,Lewis Capaldi,Someone You Loved,Lewis Capaldi,2958.875491,False
Post Malone - Sunflower,2898311408,1871177.0,Post Malone,Sunflower,Post Malone,2898.311408,False
Tones And I - Dance Monkey,2896024418,666818.0,Tones And I,Dance Monkey,Tones And I,2896.024418,False
Post Malone - rockstar,2763808309,821331.0,Post Malone,rockstar,Post Malone,2763.808309,False
The Kid LAROI - STAY,2738183590,1490471.0,The Kid LAROI,STAY,The Kid LAROI,2738.18359,False
Glass Animals - Heat Waves,2631653042,1508232.0,Glass Animals,Heat Waves,Glass Animals,2631.653042,False
The Chainsmokers - Closer,2628670123,834463.0,The Chainsmokers,Closer,The Chainsmokers,2628.670123,False
Shawn Mendes - SeÃÂ±orita,2523466357,804984.0,Shawn Mendes,SeÃÂ±orita,Shawn Mendes,2523.466357,False
James Arthur - Say You Won't Let Go,2469540456,1033161.0,James Arthur,Say You Won't Let Go,James Arthur,2469.540456,False
The Neighbourhood - Sweater Weather,2362456184,1811559.0,The Neighbourhood,Sweater Weather,The Neighbourhood,2362.456184,False
